label, text
 Car interior products, Seats
 Power battery system, Battery recycling equipment installation
 Information business, Public Opinion Research Services
 Warehousing and distribution, Efficient goods picking system
 Glasses, Regular eye examination
 Decoration, desk lamp
 Decoration,Smoke alarm
 Photovoltaic modules, Photovoltaic cell current collection
 Integrated control system, High-performance battery management system
 Glasses, Electronic glasses
 Wind power, Wind farm operation status monitoring
 Brokerage Agent, Cross-border cooperation agency
 Power Equipment, Power cable connector
 Photovoltaic power station operation, Photovoltaic Cable
 Wind power plant development and construction, Wind farm civil engineering services
 Power transmission equipment, Power line dispatching system
 Car Repair, Engine belt replacement
 Engine parts, Lubricating oil cooler
 Car interior products, Car storage bag
 Warehousing Services, Automated warehouse robots
 Wind power plant development and construction, Wind farm inspection services
 Mechanical Equipment, CNC milling machine
 New Energy Vehicles, New energy vehicle battery energy storage charging system
 Power transmission equipment, Power loss monitoring system
 New energy logistics vehicle, Electric heavy truck parts procurement platform
 Crystalline silicon material, Silicon material melting furnace
 Rim, Rim plating
 Testing machine, Modulus Tester
 Auto Finance, Car loan platform selection
 Car Repair, Automobile oil pipe replacement
 Decoration, Study room decoration
 oil, Oil equipment relocation
 Pumped Storage, Power grid dispatching software
 Metal Crafts, Metal picture frame
 Auto Finance, WeChat car loan service
 Temperature Sensor,Real-time temperature monitoring instrument
 lubricating oil, Lubricant Additives
 Industrial gas processing equipment, Industrial gas compression pipe
 Power transmission equipment, Power high voltage switchgear
 fastener, Corrosion resistant screws
 Equipment Installation, Electric sliding door installation
 Decoration, Home Decor
 Intelligent transportation equipment, Urban traffic information management platform
 Decoration, Study lamps
 Monitoring unit, Elevator monitoring system
 Wind power, Wind power inverter
 Rim, Noise reduction rims
 Crystalline silicon material, Silicon material heating furnace
 Wind power, Wind Power Project Community Impact Assessment
 fastener, Stud nut
 Photovoltaic power station operation, Power plant optimization services
 New Energy Vehicles, New Energy Vehicle Green Energy Charging Station
 Information business, Instant Messaging Software
 Lithium-ion battery, Lithium battery voltage tester
 Energy Management System, Smart Grid Power Dispatching Platform
 oil, Oil Refining
 Photovoltaic power station operation, Power plant performance monitoring
 Monitoring unit, Environmental noise monitoring equipment
 trading, Foreign trade investment analysis and evaluation
 oil, Oil reserves forecast
 Power System, Power capacitors
 Information business, User review and rating system
 Satellite navigation application system, Electronic map service
 Intelligent transportation equipment, Intelligent bus priority system
 Satellite navigation application system, Campus security monitoring system
 Warehousing and distribution, Data Acquisition System
 Integrated control system, Gas station control system
 Steel, Cast iron pipe
 Engine parts, Fuel Pump
 Photovoltaic power station operation, Photovoltaic panel surface cleaner
 Satellite communication transmission equipment,Satellite terminal routing equipment
Automation control products, Industrial Computer
 Brokerage Agent, Medical supplies agent
 Power battery system, Battery Cell Electrode Materials
 Financial leasing, Rental product distribution services
 Photovoltaic modules, Photovoltaic modules
 Decoration, Garden Lights
 Decoration, Security door
 Warehousing and distribution, Distribution point management system
 Management Consulting," Investment, Mergers and Acquisitions"
 Mechanical Equipment, Gearbox
 Information business, Video streaming services
 Glasses, Optical Business School
 Satellite navigation application system, Water quality monitoring system positioning
 Lithium-ion battery, Lithium battery thermal protector
 Warehousing Services, Warehouse cargo tracking
 Equipment Installation, Printer installation
 Management Consulting, Enterprise cross-departmental collaboration model
 Mechanical Equipment, Unmanned transport vehicle
 Mechanical Equipment, Disassembly Machine
 Satellite navigation application system, Port container positioning management
 Car Repair, Car dashboard repair
 Power System, Power module protection board
 Power Equipment, Power Engineering Technology Training
 Wind power operation, Wind turbine wind pressure analysis
 Industrial gas processing equipment, Industrial gas equipment control system
 nuclear power, Nuclear waste storage facilities
 Construction Machinery, excavator
 Power transmission equipment, Power line inspection drone
 Industrial gas processing equipment, Gas Sensors
 Satellite navigation application system, Unmanned navigation system
 Power transmission equipment, breaker
 Energy Management System, Intelligent power distribution system management platform
 trading, Supply Chain Transportation Management
 Metal smelting and processing, High purity metal production
 Warehousing Services, Warehouse cargo identification management
 Satellite navigation application system, Highway bridge monitoring and positioning
 Mechanical Equipment, Conveyor Belt
 Monitoring unit, Vehicle wireless monitoring
 Inorganic Fiber, Zirconium fiber insulation felt
 Mechanical Equipment, Equipment maintenance tools
 Car Repair, Car exterior cleaning
 Power transmission equipment, Power cable protection device
 Engine parts, Turbocharger coolant pipe
 Mechanical Equipment, Electrical protection devices
 Warehousing and distribution, Goods return service
 Power battery system, Battery recycling sorting service
 Satellite communication transmission equipment, Satellite signal detector
 Management Consulting, Implementation of enterprise development strategy
 Wind power plant development and construction, Wind farm steel structure engineering
 Integrated control system, Integrated sensor network
 Equipment Installation, Engineering elevator installation
 Construction Machinery, Wheeled multi-purpose crane
 Pumped Storage, Power station safety facilities
 Auto Finance, Car loan service
 Power transmission equipment, Power dispatching communication equipment
 Satellite communication transmission equipment, Satellite Communications Management Interface
 Auto Finance, Car loan repayment options
 Power battery system, Battery pack fast charging design
 Integrated control system, Fluid Automation Control System
 Video surveillance equipment, Video surveillance cloud platform
 Power battery system, Battery fast charging station construction
 Power battery system, Battery recycling battery sales
 Power Equipment, Power project investment and financing consulting
 Energy storage machine, Energy storage system integration
 Mechanical Equipment, Multifunctional blender
 Intelligent transportation equipment, Intelligent parking guidance system
 Lithium-ion battery, Battery Data Logging System
 Decoration, Office partition
 Auto Finance, Car loan repayment method
 Mechanical Equipment, Filters
 Metal Crafts, Iron bathroom rack
 Warehousing and distribution, Warehousing training services
 Warehousing Services, Cargo Insurance
 Pigments, Baking decoration color powder
 Pigments, Textile Pigments
 Wind power plant development and construction, Wind farm decoration and logo design
 Thermal imaging camera, Infrared thermal imaging camera system integration services
 Photovoltaic power station operation, Power station maintenance spare parts management
 Mechanical Equipment, Water Heater
 Charging station service, Smart charging pile self-check function
 Truck, Tank Truck
 Wind power plant development and construction, Wind farm power market consultation
 Commercial trade services, Business negotiation agent
 Car interior products, Car wax
 New Energy Vehicles, New Energy Vehicles Internet of Vehicles Technology
 Crystalline silicon material, Silicon Photovoltaic Cell Design
 Wind power plant development and construction, Wind farm oil and gas detection services
 Power System, Battery Charger
 Charging and swapping stations, Distribution network intelligent operation and maintenance tools
 Truck, Logistics vehicle
 lubricating oil, Lubricant recycling services
 Car Repair, Snow chain installation
 Equipment Installation, Electronic signage equipment installation
 Equipment Installation, Building intercom system installation
 Metal smelting and processing, Hot rolled stainless steel
 fastener, Gasket Kit
